City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,nelson bay,-32.7167,152.15,20.56,83,48,1698174024,AU,1698174024
264,griffith,41.5284,-87.4237,16.96,81,100,1698235963,US,1698235963
265,hirara,24.8,125.2833,24.92,83,20,1698183686,JP,1698183686
266,danilov,58.1908,40.1717,1.09,61,42,1698207378,RU,1698207378
267,makow mazowiecki,52.8649,21.1005,10.89,93,100,1698211126,PL,1698211126
268,sucre,-19.0333,-65.2627,13.89,78,97,1698227071,BO,1698227071
269,utrik,11.2278,169.8474,27.82,76,82,1698172243,MH,1698172243
270,salmon arm,50.6998,-119.3024,-2.6,95,90,1698244582,CA,1698244582
271,ponta delgada,37.7333,-25.6667,21.4,88,75,1698220812,PT,1698220812
272,jaicos,-7.3592,-41.1378,29.11,46,27,1698221927,BR,1698221927
273,alice springs,-23.7,133.8833,19.75,28,4,1698179017,AU,1698179017
274,recani,31.2846,-4.2688,24.74,18,0,1698215203,MA,1698215203
275,pindushi,62.9152,34.58,0.66,71,17,1698209723,RU,1698209723
276,gaozhou,21.9392,110.8461,25.18,85,100,1698186985,CN,1698186985
277,urangan,-25.3,152.9,22.52,83,0,1698174354,AU,1698174354
278,pachelma,53.2443,43.3521,1.71,47,68,1698205831,RU,1698205831
279,magadan,59.5667,150.8,-6.37,83,31,1698181041,RU,1698181041
280,sinop,41.7711,34.8709,18.24,47,100,1698206609,TR,1698206609
281,sitka,57.0531,-135.33,0.94,69,0,1698249364,US,1698249364
282,serchhip,23.3,92.8333,17.43,99,100,1698191388,IN,1698191388
283,hotan,37.0997,79.9269,20.98,12,0,1698195403,CN,1698195403
284,pico truncado,-46.7949,-67.9573,10.34,49,9,1698225487,AR,1698225487
285,lamarque,-39.423,-65.7021,15.04,63,0,1698225712,AR,1698225712
286,beau vallon,-20.4189,57.6953,29.13,70,40,1698197492,MU,1698197492
287,pangoa,-12.1167,-73.0,20.83,83,76,1698229318,PE,1698229318
288,igaci,-9.5369,-36.6336,27.73,50,21,1698220731,BR,1698220731
289,shwebo,22.5667,95.7,24.39,89,84,1698190657,MM,1698190657
290,brandon,27.9378,-82.2859,21.12,89,40,1698233717,US,1698233717
291,suhbaatar,50.2314,106.2078,1.26,56,58,1698190339,MN,1698190339
292,parsons,37.3403,-95.2611,20.93,89,69,1698237496,US,1698237496
293,college,64.8569,-147.8028,-3.03,83,75,1698254115,US,1698254115
294,sumenep,-7.0167,113.8667,28.06,73,1,1698184752,ID,1698184752
295,bikenibeu village,1.3673,173.1241,28.98,84,20,1698170958,KI,1698170958
296,ballina,-28.8667,153.5667,22.59,76,11,1698173959,AU,1698173959
297,pizarro,4.9533,-77.366,24.51,92,96,1698231256,CO,1698231256
298,petropavlovsk-kamchatsky,53.0452,158.6483,4.14,78,100,1698178097,RU,1698178097
299,tabas,33.5959,56.9244,29.85,14,72,1698200669,IR,1698200669
300,nueva concepcion,14.2,-91.3,22.89,92,100,1698235084,GT,1698235084
301,minot air force base,48.4209,-101.3391,-0.9,99,100,1698239995,US,1698239995
302,bhavnagar,21.7667,72.15,32.79,29,1,1698196265,IN,1698196265
303,asmar,35.0333,71.3581,23.69,35,3,1698197306,AF,1698197306
304,nizhny tagil,57.9194,59.965,-0.11,52,40,1698202571,RU,1698202571
305,zhalantun,48.0,122.7167,6.37,23,36,1698186117,CN,1698186117
306,klintsy,52.7602,32.2393,8.31,64,100,1698208435,RU,1698208435
307,katabu,-4.9333,122.5167,25.29,68,31,1698182783,ID,1698182783
308,noyabrsk,63.1994,75.4507,-3.2,84,96,1698199965,RU,1698199965
309,kavaratti,10.5669,72.642,29.13,64,29,1698195541,IN,1698195541
310,durban,-29.8579,31.0292,23.51,61,1,1698203280,ZA,1698203280
311,kailua-kona,19.6406,-155.9956,24.77,73,0,1698250915,US,1698250915
312,port douglas,-16.4833,145.4667,23.18,81,7,1698176663,AU,1698176663
313,guerrero negro,27.9769,-114.0611,17.43,85,3,1698241349,MX,1698241349
314,espanola,35.9911,-106.0806,11.47,62,100,1698239990,US,1698239990
315,nar'yan-mar,67.6713,53.087,-0.5,96,100,1698206717,RU,1698206717
316,embi,48.8264,58.1442,6.37,72,99,1698201723,KZ,1698201723
317,sanctuary point,-35.1114,150.629,16.53,80,100,1698174204,AU,1698174204
318,aban,56.67,96.06,2.98,96,100,1698193681,RU,1698193681
319,ulverston,54.1959,-3.0963,10.86,87,36,1698217129,GB,1698217129
320,vorgashor,67.5833,63.95,-16.17,98,9,1698204070,RU,1698204070
321,brokopondo,4.75,-55.1667,26.13,84,50,1698225917,SR,1698225917
322,queenstown,-31.8976,26.8753,22.92,24,1,1698204129,ZA,1698204129
323,tazovsky,67.4667,78.7,-7.77,92,17,1698200478,RU,1698200478
324,south windsor,41.8237,-72.6212,11.63,92,0,1698232434,US,1698232434
325,mejit,10.2753,170.8646,28.02,79,28,1698171950,MH,1698171950
326,el calafate,-50.3408,-72.2768,5.53,72,51,1698226069,AR,1698226069
327,zeya,53.75,127.2667,3.6,74,100,1698185736,RU,1698185736
328,saint-philippe,-21.3585,55.7679,27.77,78,41,1698197898,RE,1698197898
329,upata,8.0086,-62.3989,24.08,86,13,1698227821,VE,1698227821
330,desaguadero,-16.5656,-69.0417,8.97,71,71,1698228121,PE,1698228121
331,general acha,-37.377,-64.6043,14.47,66,0,1698225630,AR,1698225630
332,fisterra,42.9049,-9.2629,18.75,95,100,1698217313,ES,1698217313
333,saint-joseph,-21.3667,55.6167,29.15,75,28,1698197934,RE,1698197934
334,salinas,36.6777,-121.6555,13.93,86,40,1698243783,US,1698243783
335,yoro,15.1333,-87.1333,19.95,97,98,1698234134,HN,1698234134
336,sao jose da coroa grande,-8.8978,-35.1478,26.2,71,94,1698220409,BR,1698220409
337,arno,60.1167,18.6333,4.88,69,100,1698212926,SE,1698212926
338,bakchar,57.0186,82.0711,3.19,97,100,1698197101,RU,1698197101
339,bay city,43.5945,-83.8889,18.39,70,0,1698235303,US,1698235303
340,guasdualito,7.2424,-70.7324,23.53,96,46,1698229781,VE,1698229781
341,lata,40.1629,-8.3327,19.4,83,100,1698216848,PT,1698216848
342,terbanggi besar,-4.8667,105.2333,28.93,62,100,1698186934,ID,1698186934
343,cova figueira,14.8905,-24.2934,24.35,73,49,1698219036,CV,1698219036
344,medvezh'yegorsk,62.9167,34.4667,0.82,70,15,1698209751,RU,1698209751
345,cockburn town,21.4612,-71.1419,27.92,68,57,1698230648,TC,1698230648
346,rabak,13.1809,32.74,37.15,27,71,1698205255,SD,1698205255
347,mirny,62.5353,113.9611,-4.31,79,97,1698190540,RU,1698190540
348,hanak,41.2336,42.8472,14.44,41,22,1698204646,TR,1698204646
349,floro,61.5996,5.0328,13.04,54,0,1698216516,NO,1698216516
350,kone,-21.0595,164.8658,22.25,85,98,1698171745,NC,1698171745
351,ocean shores,46.9737,-124.1563,7.79,95,100,1698245317,US,1698245317
352,kununurra,-15.7667,128.7333,31.99,51,77,1698180717,AU,1698180717
353,santa marta,11.2408,-74.199,27.72,78,40,1698230822,CO,1698230822
